,appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
64,2600,Vampire: The Masquerade - Bloodlines,2007-03-22,1,Troika Games,Activision,windows,0,Single-player,Action,RPG;Vampire;Cult Classic,0,6161,362,350,202,500000-1000000,14.99
2695,282560,RollerCoaster Tycoon World™,2016-11-16,1,Nvizzio Creations,Atari;RCTO Productions,windows,0,Single-player;Steam Achievements;Full controller support;Steam Workshop;Steam Cloud,Simulation;Strategy,Simulation;Building;Management,30,1182,3585,2577,4878,100000-200000,10.99
7038,409420,Knight Adventure,2015-10-15,1,Syberstudio,Syberstudio,windows,0,Single-player;Steam Trading Cards,Action;Adventure;Indie,Action;Adventure;Indie,0,19,32,374,376,50000-100000,0.79
5671,370510,Marble Mayhem: Fragile Ball,2015-07-07,1,"Bimboosoft Co.,Ltd.",Epic Quest Games,windows,0,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Sports;Strategy,Casual;Action;Indie,0,665,338,204,217,200000-500000,0.79
7293,416590,Emily Wants To Play,2015-12-10,1,Shawn Hitchcock,SKH Apps,windows;mac,0,Single-player;Full controller support,Action;Adventure;Casual;Indie;Simulation;Strategy,Horror;Survival Horror;Indie,0,914,222,36,36,100000-200000,3.99
3576,313120,Stranded Deep,2015-01-23,1,Beam Team Games,Beam Team Pty Ltd,windows;mac;linux,0,Single-player;Full controller support;Includes level editor,Adventure;Indie;Early Access,Early Access;Survival;Open World,8,15604,5459,272,246,500000-1000000,10.99
2211,262060,Darkest Dungeon®,2016-01-19,1,Red Hook Studios,Red Hook Studios,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Indie;RPG;Strategy,Turn-Based Combat;RPG;Dungeon Crawler,104,41544,6741,1121,619,2000000-5000000,18.99
9016,466580,GOD's DEATH,2016-05-11,1,Marco Tancredi,Marco Tancredi,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Indie;RPG,RPG;Indie;RPGMaker,0,7,13,232,272,50000-100000,2.79
1831,243450,Urban Trial Freestyle,2013-09-18,1,Tate Multimedia,Tate Multimedia,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Racing;Simulation;Sports,Racing;Action;Simulation,12,1191,272,166,198,100000-200000,4.99
11593,545470,Hover Hazard,2016-10-21,1,David Mulder,David Mulder,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support,Casual;Indie,Indie;Casual,0,17,8,232,252,50000-100000,1.59
8857,462960,Caveman World: Mountains of Unga Boonga,2016-04-26,1,GrabTheGames Studios,GrabTheGames,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Adventure;Casual;Indie,Casual;Indie;Adventure,14,330,170,1529,2777,100000-200000,1.59
12245,562600,Our Wonderful World,2016-11-29,1,White Rabbit Games,White Rabbit Games,windows;linux,0,Single-player;Steam Trading Cards,Casual;Indie,Indie;Casual,0,10,8,285,301,20000-50000,0.79
12317,564710,Soda Dungeon,2017-02-06,1,AN Productions;Poxpower,Armor Games Studios,windows,0,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud,Casual;Free to Play;RPG,Free to Play;RPG;Pixel Graphics,24,3624,240,751,619,500000-1000000,0.0
2437,270010,Time Rifters,2014-10-21,1,Proton Studio Inc,Unknown,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Leaderboards;Includes level editor;Commentary available,Action;Casual;Indie,Action;Casual;Shooter,35,271,36,374,374,0-20000,6.99
13434,595770,AirMech Wastelands,2018-07-06,1,Carbon Games,Carbon Games,windows,0,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Partial Controller Support,Action;Indie;RPG;Strategy,Strategy;Action;RPG,16,120,45,36,36,0-20000,14.99
3163,298520,Orbital Gear,2014-08-07,1,Night Node,Night Node,windows;mac;linux,0,Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Action;Indie;Simulation,Action;Indie;Mechs,12,1488,298,80,87,200000-500000,5.99
2382,268320,Grapple,2015-03-09,1,Tuesday Society,Midnight City;Majesco Entertainment,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Indie,Indie;3D Platformer;Puzzle-Platformer,19,259,22,432,432,20000-50000,5.19
15070,652980,Loading Screen Simulator,2017-07-13,1,CakeEaterGames,CakeEaterGames,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Casual;Free to Play;Indie;Simulation,Free to Play;Memes;Clicker,19,5783,936,26,42,200000-500000,0.0
12820,577690,Spooky's Jump Scare Mansion: HD Renovation,2017-03-01,1,Albino Moose Games,Albino Moose Games,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Adventure;Indie,Indie;Horror;Adventure,26,342,29,223,223,20000-50000,6.99
24165,921060,Modern Combat 5,2018-10-24,1,Gameloft,Gameloft,windows,0,Single-player;Online Multi-Player;In-App Purchases,Action;Free to Play;Massively Multiplayer,Free to Play;Massively Multiplayer;FPS,54,589,774,129,69,200000-500000,0.0
3253,301610,openCanvas 6,2014-09-01,1,PGN Inc,PGN Inc,windows,0,Single-player;Steam Trading Cards,Design & Illustration;Photo Editing,Design & Illustration;Photo Editing;Software,0,399,60,150,150,0-20000,29.99
3930,324510,Boundless,2018-09-11,1,Wonderstruck,Square Enix,windows;mac,0,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support,Action;Adventure;Indie;Massively Multiplayer;RPG,Sandbox;Massively Multiplayer;Open World,59,1153,486,55204,55204,20000-50000,32.99
14608,635260,CarX Drift Racing Online,2017-11-17,1,CarX Technologies,CarX Technologies,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Massively Multiplayer;Racing;Simulation;Sports,Racing;Sports;Massively Multiplayer,36,3048,374,608,608,100000-200000,9.9
9200,474010,The NADI Project,2016-06-01,1,Monkeys Tales Studio,Monkeys Tales Studio,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Free to Play;Indie,Free to Play;Adventure;First-Person,9,230,128,10,10,50000-100000,0.0
14281,622650,Bendy and the Ink Machine™,2017-04-27,1,Joey Drew Studios Inc.,Joey Drew Studios Inc.,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support,Action;Indie,Horror;First-Person;Singleplayer,60,9901,1398,38,43,500000-1000000,15.49
2962,291930,Industry Empire,2014-07-30,1,Actalogic,rondomedia GmbH,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Simulation;Strategy,Simulation;Strategy;Management,63,70,135,27,27,20000-50000,8.99
11931,553790,Once in Yaissor,2016-11-09,0,Valera Entertainment,Valera Entertainment,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Indie;Story Rich;Adventure,5,667,104,2170,3948,100000-200000,0.79
9579,491160,GemBreak,2016-06-14,1,Ballista Studios IVS,Ballista Studios IVS,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Casual,Casual;Action;Arcade,27,78,23,604,604,0-20000,1.59
1799,241300,Card City Nights 2,2017-09-01,1,Ludosity,Ludosity,windows;mac;linux,0,Single-player;Online Multi-Player;Steam Trading Cards,Adventure;Indie;Strategy,Adventure;Indie;Strategy,11,62,8,444,444,0-20000,5.79
9597,491620,Beeftacular,2016-08-26,1,Retrific,Retrific,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Casual;Indie;Racing;Sports,Casual;Action;Indie,35,60,17,215,215,20000-50000,1.99
5198,358410,Rise of the Triad: Dark War,2014-05-05,1,3D Realms (Apogee Software),Apogee Software,windows;mac,0,Single-player;Partial Controller Support,Action,Action;FPS;Classic,0,40,4,3,3,20000-50000,4.99
6297,388050,Snik,2015-09-04,1,Cleverweek,Cleverweek,windows;mac;linux,0,Single-player;Steam Trading Cards;Stats,Casual;Indie,Casual;Indie,24,58,39,329,345,50000-100000,1.99
1694,234630,Project CARS,2015-03-15,1,Slightly Mad Studios,Slightly Mad Studios;BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;VR Support;Partial Controller Support;Steam Leaderboards,Racing;Simulation;Sports,Racing;Simulation;Driving,45,8618,2720,232,282,1000000-2000000,23.39
2315,265330,Gomo,2013-12-06,1,Fishcow Studio,Daedalic Entertainment,windows;mac,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,0,921,306,108,108,100000-200000,3.99
12416,567280,Cube Runner,2016-12-13,1,Just1337 Studio,Just1337 Publisher,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Casual;Indie,Casual;Action;Indie,41,546,72,1449,2704,50000-100000,4.99
1127,107410,Arma 3,2013-09-12,1,Bohemia Interactive,Bohemia Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Leaderboards;Includes level editor,Action;Simulation;Strategy,Simulation;Military;Multiplayer,104,105034,12524,18823,3621,2000000-5000000,29.99
5643,369890,Riddled Corpses,2015-06-02,1,Daniel Fernandez Chavez,Diabolical Mind,windows;mac;linux,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;RPG,Action;Indie;Adventure,15,135,50,784,784,20000-50000,5.59
229,9060,HeXen II,2007-08-03,1,Raven Software,id Software,windows,0,Single-player;Multi-player;Co-op;Steam Cloud,Action,Action;FPS;Classic,0,173,39,10,10,200000-500000,2.99
13903,610780,Crazy Buggy Racing,2017-04-12,1,VGstudio,VGstudio,windows,0,Single-player;Steam Trading Cards,Action;Racing;Simulation;Sports,Racing;Action;Sports,0,17,49,249,272,50000-100000,3.99
8271,447850,The Next Door,2016-03-22,1,Labory,Labory,windows,0,Single-player;Steam Trading Cards,Adventure;Casual;Indie,Indie;Adventure;Casual,0,340,341,178,270,200000-500000,0.79
5314,361850,Portal of Evil: Stolen Runes Collector's Edition,2015-05-26,1,8Floor,8Floor,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual,Casual;Adventure;Hidden Object,20,153,18,169,169,100000-200000,3.99
8868,463110,Farnham Fables,2016-06-20,1,Ethrea Dreams,Sometimes You,windows,0,Single-player;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Indie;Casual,0,237,84,215,217,100000-200000,0.79
4938,351800,Dev Guy,2015-05-20,1,Daniel Jonathan Bourke,Project tranquil,windows,0,Single-player,Adventure;Free to Play;Indie,Free to Play;Indie;Adventure,7,1389,353,19,19,200000-500000,0.0
14066,615400,Make It Rain: Love of Money,2018-05-25,1,Game Troopers,Game Troopers,windows,0,Single-player;Steam Achievements;In-App Purchases;Steam Cloud,Action;Casual;Free to Play;Simulation;Strategy,Free to Play;Casual;Strategy,14,45,71,3,3,20000-50000,0.0
18864,758190,Dragon Cliff,2018-05-11,1,Meta Interaction,Meta Interaction,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Casual;Indie;RPG;Simulation;Strategy,RPG;Strategy;Adventure,70,1450,209,2638,2783,200000-500000,7.19
759,40100,Supreme Commander 2,2010-03-01,1,Gas Powered Games,Square Enix,windows,0,Single-player;Multi-player;Steam Achievements;Stats;Steam Leaderboards,Strategy,Strategy;RTS;Sci-fi,47,5336,903,1834,2894,1000000-2000000,8.99
8660,457820,Outrage,2016-04-06,1,Astronomic Games,New Reality Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie;RPG,Indie;RPG;Adventure,41,78,44,239,244,200000-500000,2.79
4560,342200,MechWarrior Online™ Solaris 7,2015-12-10,1,Piranha Games Inc.,Piranha Games Inc.,windows,0,Multi-player;MMO;Steam Achievements,Action;Free to Play;Massively Multiplayer;Simulation;Strategy,Free to Play;Mechs;Multiplayer,36,4262,1418,812,104,1000000-2000000,0.0
5063,355280,Brave Furries,2017-03-14,1,Crazy Goat Games,Crazy Goat Games,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Casual;Indie;Puzzle,18,40,9,289,289,20000-50000,0.79
8891,463530,Empires of the Undergrowth,2017-12-01,1,Slug Disco Studios,Slug Disco Studios,windows;mac;linux,0,Single-player,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,0,1117,107,863,863,50000-100000,15.99
13609,601150,Devil May Cry 5,2019-03-07,1,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",windows,18,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Action;Hack and Slash;Character Action Game,51,17657,1487,916,950,1000000-2000000,44.99
17228,710610,Don't Sink,2018-04-13,1,Sebastian Nigro;Christopher Anselmo;Daniel Marques,Studio Eris,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats;Steam Leaderboards,Adventure;Casual;Indie;RPG,Adventure;Casual;Pirates,15,104,29,23,23,0-20000,7.19
4151,331870,AER Memories of Old,2017-10-25,1,Forgotten Key,Daedalic Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Exploration,20,1473,284,73,119,50000-100000,13.49
15865,673130,AMID EVIL,2018-03-12,1,Indefatigable,New Blood Interactive,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Early Access,Early Access;Action;FPS,37,582,10,278,278,20000-50000,15.49
20703,810200,blue.,2018-03-21,1,J. Appallonia Hardner,J. Appallonia Hardner,windows,0,Single-player,Casual;Free to Play;Indie,Free to Play;Indie;Casual,0,49,38,9,9,0-20000,0.0
11553,544550,Stationeers,2017-12-12,1,RocketWerkz,RocketWerkz,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Simulation;Early Access,Early Access;Space;Simulation,4,1372,287,3233,4876,50000-100000,18.99
1291,207170,Legend of Grimrock,2012-04-11,1,Almost Human Games,Almost Human Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Includes level editor,Adventure;Indie;RPG,Dungeon Crawler;RPG;Indie,40,4420,268,314,362,500000-1000000,10.99
965,62000,Flight Control HD,2010-11-18,1,Firemint,Firemint,windows;mac,0,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action;Casual,Casual;Action;Arcade,16,406,36,85,85,50000-100000,2.99
6640,397580,Moonbase 332,2015-09-18,1,PatchNoteStudio,PatchNoteStudio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,Action;Indie,Indie;Action;Comedy,8,39,86,306,306,20000-50000,3.99
7100,411120,Galaxy Admirals,2017-01-17,1,Jetdogs Studios,Jetdogs Studios,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards,Strategy,Strategy;Turn-Based Strategy;Turn-Based,25,173,29,297,297,50000-100000,1.59
1054,92200,Gundemonium Recollection,2011-09-27,1,Platine Dispositif,Rockin' Android,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Bullet Hell;Shoot 'Em Up;Anime,33,130,8,78,78,50000-100000,2.79
14195,619740,The Inevitability,2017-04-17,1,VaNyuHa,VaNyuHa,windows,0,Single-player;Steam Trading Cards;Commentary available,Gore;Adventure;Indie,Adventure;Indie;Gore,0,23,12,408,408,50000-100000,3.99
7882,435150,Divinity: Original Sin 2 - Definitive Edition,2017-09-14,1,Larian Studios,Larian Studios,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Includes level editor,Adventure;RPG;Strategy,RPG;Turn-Based;Story Rich,97,44145,2464,2938,1953,2000000-5000000,29.99
3467,308580,Orborun,2014-09-05,1,Tiny Lab Productions,Digerati Distribution,windows;mac;linux,0,Single-player;Multi-player;Shared/Split Screen;Full controller support,Action;Indie;Racing,Indie;Racing;Action,0,324,86,17,17,100000-200000,4.79
2045,253490,CABAL Online,2016-02-17,1,ESTgames Corp.,ESTsoft Inc.,windows,0,Multi-player;MMO,Action;Free to Play;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;MMORPG,0,495,277,3,3,200000-500000,0.0
3344,304240,Resident Evil / biohazard HD REMASTER,2015-01-19,1,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure,Survival Horror;Zombies;Horror,44,6313,661,604,1049,500000-1000000,15.99
10369,511630,"Max, an Autistic Journey",2016-08-19,1,Professional Imagination,GPAC,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie;RPG,RPG;Indie;RPGMaker,27,68,14,289,289,20000-50000,3.99
888,47890,The Sims™ 3,2011-01-27,1,The Sims Studio,Electronic Arts,windows,0,Single-player,Simulation,Simulation;Character Customization;Sandbox,0,11679,2493,4730,499,2000000-5000000,24.99
16293,683830,Weable,2017-08-22,1,SPECTRUM GAMES,Droid Riot,windows,0,Single-player;Steam Trading Cards,Action;Casual;Indie,Action;Indie;Casual,0,50,9,205,205,20000-50000,0.79
7806,433790,Wooden Floor 2 - Resurrection,2016-01-11,1,pheenix93,pheenix93,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Adventure;Indie;Mystery,0,23,21,241,241,20000-50000,1.69
7392,420300,The Admin,2016-11-01,1,Willpowaproject,Willpowaproject,windows,0,Single-player;Steam Trading Cards,Violent;Action;Adventure;Indie,Action;Adventure;Indie,0,7,14,342,352,0-20000,1.69
10450,513530,Anykey Simulator,2016-09-28,1,RiDeLy,Dagestan Technology,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;Simulation,Indie;Simulation,18,61,83,235,270,100000-200000,3.19
26032,998930,Seek Girl,2019-03-14,1,DSGame,DSGame,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Nudity;Sexual Content;Casual,48,613,52,7,7,20000-50000,0.79
2107,257510,The Talos Principle,2014-12-11,1,Croteam,Devolver Digital;Croteam,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Action;Adventure;Indie,Puzzle;First-Person;Sci-fi,40,17237,785,230,186,1000000-2000000,29.99
2478,271590,Grand Theft Auto V,2015-04-13,1,Rockstar North,Rockstar Games,windows,18,Single-player;Multi-player;Steam Achievements;Full controller support,Action;Adventure,Open World;Action;Multiplayer,77,329061,139308,9837,4834,10000000-20000000,24.99
14579,633460,Tannenberg,2017-11-16,1,Blackmill Games;M2H,M2H,windows;mac;linux,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie;Strategy,World War I;Multiplayer;FPS,67,3019,607,94,143,100000-200000,15.49
3441,307780,Mortal Kombat X,2015-04-13,1,NetherRealm Studios;QLOC,Warner Bros. Interactive Entertainment,windows,18,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Fighting;Gore;Action,73,21484,7154,1030,446,1000000-2000000,15.99
18691,753420,Dungreed,2018-02-14,1,TEAM HORAY,TEAM HORAY,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Indie,Action;Pixel Graphics;Indie,16,2104,305,951,951,100000-200000,7.19
333,13250,Unreal Gold,2008-03-17,1,"Epic Games, Inc.","Epic Games, Inc.",windows,0,Single-player;Multi-player,Action,Classic;FPS;Action,0,1228,132,67,41,500000-1000000,5.99
21924,848300,GROW: Wild West,2018-05-24,1,Armatur Games,Armatur Games,windows,0,Single-player,Casual;Indie,Indie;Casual;2D,10,26,5,47,47,0-20000,2.09
8870,463150,BARRIER X,2016-05-27,1,Noclip,HypeTrain Digital,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Difficult,7,1704,246,673,193,200000-500000,1.99
300,12320,Sacred Gold,2008-07-09,1,Ascaron Entertainment ltd.,Strategy First,windows,0,Single-player,Action;RPG,RPG;Action;Hack and Slash,0,1489,319,337,404,200000-500000,6.99
5569,368070,Sniper Ghost Warrior 3,2017-04-24,1,CI Games,CI Games,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud,Violent;Action,Sniper;Action;Open World,48,2973,2465,1800,1800,200000-500000,23.79
13811,606890,Masters of Anima,2018-04-10,1,Passtech Games,Focus Home Interactive,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;RPG;Strategy,Action;Strategy;Adventure,30,123,11,175,175,0-20000,16.99
3656,315110,Woah Dave!,2014-10-30,1,MiniVisions,Choice Provisions,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Action;Indie;Multiplayer,21,77,23,126,126,20000-50000,3.99
2395,268850,EVGA Precision XOC,2014-07-16,1,EVGA,EVGA,windows,0,Single-player;Steam Achievements,Utilities,Utilities;Software;Free to Play,20,1626,538,382,69,1000000-2000000,0.0
20122,793350,Swarmlake,2018-03-12,1,Dominique Grieshofer,Dominique Grieshofer,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Action;Casual;Indie,27,746,36,3,3,50000-100000,0.79
968,63110,Alter Ego,2010-08-03,1,bitComposer Games,Viva Media,windows,0,Single-player,Adventure,Adventure;Point & Click;Mystery,0,139,59,12,12,20000-50000,7.19
2195,261470,Distant Worlds: Universe,2014-05-23,1,Code Force,Slitherine Ltd.,windows,0,Single-player;Steam Achievements,Simulation;Strategy,Strategy;4X;Space,54,885,267,209,209,50000-100000,44.98
19154,766040,Gloom: Digital Edition,2018-10-31,1,Sky Ship Studios,Asmodee Digital,windows;mac,0,Single-player;Multi-player;Online Multi-Player,Casual;Indie;Strategy,Casual;Strategy;Indie,0,16,16,5,5,0-20000,5.19
6814,402750,Giant Machines 2017,2016-09-29,1,Code Horizon,Code Horizon;PlayWay S.A.,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie;Simulation,Simulation;Indie;Singleplayer,14,196,85,115,115,20000-50000,14.99
5346,362890,Black Mesa,2015-05-05,1,Crowbar Collective,Crowbar Collective,windows;linux,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor;Includes Source SDK,Action;Adventure;Indie;Early Access,Early Access;FPS;Remake,25,14113,999,715,794,1000000-2000000,14.99
13456,596650,Tap Adventure: Time Travel,2017-03-03,1,Avallon Alliance,Panoramik inc,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases,Adventure;Free to Play,Free to Play;Clicker;Fantasy,116,499,244,2860,4285,100000-200000,0.0
13682,603030,Lamp Head,2017-06-01,1,Oriplay,Cristian Manolachi;Atomic Fabrik,windows,0,Single-player;Steam Trading Cards,Adventure;Casual;Indie,Casual;Indie;Adventure,0,58,24,244,296,20000-50000,0.79
4063,329000,Data Hacker: Corruption,2014-10-22,1,New Reality Games,New Reality Games,windows,0,Single-player;Partial Controller Support,Adventure;Indie;RPG;Simulation,RPG;Indie;Adventure,69,40,43,290,334,200000-500000,1.99
5088,355810,Centauri Sector,2015-06-23,1,LW Games,LW Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie;Strategy,Strategy;Indie;Action,22,29,16,212,212,20000-50000,3.99
8244,446840,Splasher,2017-02-07,1,Splashteam,Dear Villagers,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Indie,Platformer;Indie;Action,47,567,37,22,22,20000-50000,10.99
2699,282660,Easy™ eSports,2015-09-10,1,EasyAntiCheat Ltd,EasyAntiCheat Ltd,windows,0,Multi-player;Cross-Platform Multiplayer,Utilities,Utilities;Free to Play,0,1996,875,128,66,500000-1000000,0.0
12433,567780,Satellite Repairman,2017-02-02,1,Nuno Donato,Nuno Donato,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Casual;Action;Indie,11,18,10,225,225,0-20000,2.99
